aalen:	('aalɛnɛm', 'N;INS;SG')
	('a d mʲ i ɲ i s t r a t ɔ r k a x', 'N;ESS;PL')
	('a d mʲ i ɲ i s t r a t ɔ r k a mʲ i', 'N;INS;PL')
	('a d mʲ i ɲ i s t r a t ɔ r k ɔ̃', 'N;INS;SG')
	('a d mʲ i ɲ i s t r a t ɔ r k a', 'N;NOM;SG')
	('a d mʲ i ɲ i s t r a t ɔ r k ɛ', 'N;ACC;SG')
	('a d mʲ i ɲ i s t r a t ɔ r kʲ i', 'N;ACC;PL')
	('a d mʲ i ɲ i s t r a t ɔ r kʲ i', 'N;GEN;SG')
	('a d mʲ i ɲ i s t r a t ɔ r kʲ i', 'N;NOM;PL')
	('a d mʲ i ɲ i s t r a t ɔ r kʲ i', 'N;VOC;PL')
	('a d mʲ i ɲ i s t r a t ɔ r k ɔ m', 'N;DAT;PL')
	('a d mʲ i ɲ i s t r a t ɔ r k ɔ', 'N;VOC;SG')
adopcja:	('a d ɔ p t͡s j a x', 'N;ESS;PL')
	('a d ɔ p t͡s j a mʲ i', 'N;INS;PL')
	('a d ɔ p t͡s j ɔ̃', 'N;INS;SG')
	('a d ɔ p t͡s j a', 'N;NOM;SG')
	('a d ɔ p t͡s j ɛ', 'N;ACC;PL')
	('a d ɔ p t͡s j ɛ', 'N;ACC;SG')
	('a d ɔ p t͡s j ɛ', 'N;NOM;PL')
	('a d ɔ p t͡s j ɛ', 'N;VOC;PL')
	('a d ɔ p t͡s j i', 'N;DAT;SG')
	('a d ɔ p t͡s j i', 'N;ESS;SG')
	('a d ɔ p t͡s j i', 'N;GEN;PL')
	('a d ɔ p t͡s j i', 'N;GEN;SG')
	('a d ɔ p t͡s j ɔ m', 'N;DAT;PL')
	('a d ɔ p t͡s j ɔ', 'N;VOC;SG')
adoracja:	('a d ɔ r a t͡s j a x', 'N;ESS;PL')
	('a d ɔ r a t͡s j a mʲ i', 'N;INS;PL')
	('a d ɔ r a t͡s j ɔ̃', 'N;INS;SG')
	('a d ɔ r a t͡s j a', 'N;NOM;SG')
	('a d ɔ r a t͡s j ɛ', 'N;ACC;PL')
	('a d ɔ r a t͡s j ɛ', 'N;ACC;SG')
	('a d ɔ r a t͡s j ɛ', 'N;NOM;PL')
	('a d ɔ r a t͡s j ɛ', 'N;VOC;PL')
	('a d ɔ r a t͡s j i', 'N;DAT;SG')
	('a d ɔ r a t͡s j i', 'N;ESS;SG')
	('a d ɔ r a t͡s j i', 'N;GEN;PL')
	('a d ɔ r a t͡s j i', 'N;GEN;SG')
	('a d ɔ r a t͡s j ɔ m', 'N;DAT;PL')
	('a d ɔ r a t͡s j ɔ', 'N;VOC;SG')
adrenalina:	('adrɛnalʲinax', 'N;ESS;PL')
	('adrɛnalʲinamʲi', 'N;INS;PL')
	('a d r ɛ n a lʲ i n ɔ̃', 'N;INS;SG')
	('a d r ɛ n a lʲ i n a', 'N;NOM;SG')
	('a d r ɛ n a lʲ i n ɛ', 'N;ACC;SG')
	('a d r ɛ n a lʲ i ɲ ɛ', 'N;DAT;SG')
	('a d r ɛ n a lʲ i ɲ ɛ', 'N;ESS;SG')
	('adrɛnalʲin', 'N;GEN;PL')
	('adrɛnalʲinɔm', 'N;DAT;PL')
	('a d r ɛ n a lʲ i n ɔ', 'N;VOC;SG')
	('a d r ɛ n a lʲ i n ɨ', 'N;ACC;PL')
	('a d r ɛ n a lʲ i n ɨ', 'N;GEN;SG')
	('a d r ɛ n a lʲ i n ɨ', 'N;NOM;PL')
	('a d r ɛ n a lʲ i n ɨ', 'N;VOC;PL')
adres:	('a d r ɛ s a x', 'N;ESS;PL')
	('a d r ɛ s a mʲ i', 'N;INS;PL')
	('a d r ɛ s ɛ m', 'N;INS;SG')
	('a d r ɛ ɕ ɛ', 'N;ESS;SG')
	('a d r ɛ ɕ ɛ', 'N;VOC;SG')
	('a d r ɛ s', 'N;ACC;SG')
	('a d r ɛ s', 'N;NOM;SG')
	('a d r ɛ s ɔ m', 'N;DAT;PL')
	('a d r ɛ s ɔ vʲ i', 'N;DAT;SG')
	('a d r ɛ s u f', 'N;GEN;PL')
	('a d r ɛ s u', 'N;GEN;SG')
	('a d r ɛ s ɨ', 'N;ACC;PL')
	('a d r ɛ s ɨ', 'N;NOM;PL')
	('a d r ɛ s ɨ', 'N;VOC;PL')
adresat:	('a d r ɛ s a t͡ɕ ɛ', 'N;ESS;SG')
	('a d r ɛ s a t͡ɕ ɛ', 'N;VOC;SG')
	('a d r ɛ s a t͡ɕ i', 'N;NOM;PL')
	('a d r ɛ s a t͡ɕ i', 'N;VOC;PL')
	('a d r ɛ s a t a x', 'N;ESS;PL')
	('a d r ɛ s a t a mʲ i', 'N;INS;PL')
	('a d r ɛ s a t a', 'N;ACC;SG')
	('a d r ɛ s a t a', 'N;GEN;SG')
	('a d r ɛ s a t ɛ m', 'N;INS;SG')
	('a d r ɛ s a t', 'N;NOM;SG')
	('a d r ɛ s a t ɔ m', 'N;DAT;PL')
	('a d r ɛ s a t ɔ vʲ i', 'N;DAT;SG')
	('a d r ɛ s a t u f', 'N;ACC;PL')
	('a d r ɛ s a t u f', 'N;GEN;PL')
adwent:	('a d v ɛ n t͡ɕ ɛ', 'N;ESS;SG')
	('a d v ɛ n t͡ɕ ɛ', 'N;VOC;SG')
	('a d v ɛ n t a x', 'N;ESS;PL')
	('a d v ɛ n t a mʲ i', 'N;INS;PL')
	('a d v ɛ n t ɛ m', 'N;INS;SG')
	('a d v ɛ n t', 'N;ACC;SG')
	('a d v ɛ n t', 'N;NOM;SG')
	('a d v ɛ n t ɔ m', 'N;DAT;PL')
	('a d v ɛ n t ɔ vʲ i', 'N;DAT;SG')
	('a d v ɛ n t u f', 'N;GEN;PL')
	('a d v ɛ n t u', 'N;GEN;SG')
	('a d v ɛ n t ɨ', 'N;ACC;PL')
	('a d v ɛ n t ɨ', 'N;NOM;PL')
	('a d v ɛ n t ɨ', 'N;VOC;PL')
adwersarz:	('advɛrsaʐax', 'N;ESS;PL')
	('advɛrsaʐamʲi', 'N;INS;PL')
	('advɛrsaʐa', 'N;ACC;SG')
	('advɛrsaʐa', 'N;GEN;SG')
	('advɛrsaʐɛm', 'N;INS;SG')
	('advɛrsaʐɛ', 'N;NOM;PL')
	('advɛrsaʐɛ', 'N;VOC;PL')
	('a d v ɛ r s a ʂ', 'N;NOM;SG')
	('advɛrsaʐɔm', 'N;DAT;PL')
	('advɛrsaʐɔvʲi', 'N;DAT;SG')
	('advɛrsaʐu', 'N;ESS;SG')
	('advɛrsaʐu', 'N;VOC;SG')
	('advɛrsaʐɨ', 'N;ACC;PL')
	('advɛrsaʐɨ', 'N;GEN;PL')
aerostat:	('aɛrɔsta\U00100001ʲiɛ', 'N;ESS;SG')
	('aɛrɔsta\U00100001ʲiɛ', 'N;VOC;SG')
	('aɛrɔstatax', 'N;ESS;PL')
	('aɛrɔstatamʲi', 'N;INS;PL')
	('aɛrɔstatɛm', 'N;INS;SG')
	('a ɛ r ɔ s t a t', 'N;ACC;SG')
	('a ɛ r ɔ s t a t', 'N;NOM;SG')
	('aɛrɔstatɔm', 'N;DAT;PL')
	('aɛrɔstatɔvʲi', 'N;DAT;SG')
	('aɛrɔstatuv', 'N;GEN;PL')
	('aɛrɔstatu', 'N;GEN;SG')
	('aɛrɔstatɨ', 'N;ACC;PL')
	('aɛrɔstatɨ', 'N;NOM;PL')
	('aɛrɔstatɨ', 'N;VOC;PL')
afera:	('afɛrax', 'N;ESS;PL')
	('afɛramʲi', 'N;INS;PL')
	('afɛrɔ̃', 'N;INS;SG')
	('a f ɛ r a', 'N;NOM;SG')
	('afɛrɛ~', 'N;ACC;SG')
	('afɛr', 'N;GEN;PL')
	('afɛrɔm', 'N;DAT;PL')
	('afɛrɔ', 'N;VOC;SG')
	('afɛrɨ', 'N;ACC;PL')
	('afɛrɨ', 'N;GEN;SG')
	('afɛrɨ', 'N;NOM;PL')
	('afɛrɨ', 'N;VOC;PL')
	('afɛʐɛ', 'N;DAT;SG')
	('afɛʐɛ', 'N;ESS;SG')
afiks:	('afʲiksax', 'N;ESS;PL')
	('afʲiksamʲi', 'N;INS;PL')
	('afʲiksɛm', 'N;INS;SG')
	('afʲikɕiɛ', 'N;ESS;SG')
	('afʲikɕiɛ', 'N;VOC;SG')
	('a fʲ i k s', 'N;ACC;SG')
	('a fʲ i k s', 'N;NOM;SG')
	('afʲiksɔm', 'N;DAT;PL')
	('afʲiksɔvʲi', 'N;DAT;SG')
	('afʲiksuv', 'N;GEN;PL')
	('afʲiksu', 'N;GEN;SG')
	('afʲiksɨ', 'N;ACC;PL')
	('afʲiksɨ', 'N;NOM;PL')
	('afʲiksɨ', 'N;VOC;PL')
afirmacja:	('afʲirma\U00100001jax', 'N;ESS;PL')
	('afʲirma\U00100001jamʲi', 'N;INS;PL')
	('afʲirma\U00100001jɔ̃', 'N;INS;SG')
	('a fʲ i r m a t͡s j a', 'N;NOM;SG')
	('afʲirma\U00100001jɛ', 'N;ACC;PL')
	('afʲirma\U00100001jɛ~', 'N;ACC;SG')
	('afʲirma\U00100001jɛ', 'N;NOM;PL')
	('afʲirma\U00100001jɛ', 'N;VOC;PL')
	('afʲirma\U00100001jʲi', 'N;DAT;SG')
	('afʲirma\U00100001jʲi', 'N;ESS;SG')
	('afʲirma\U00100001jʲi', 'N;GEN;PL')
	('afʲirma\U00100001jʲi', 'N;GEN;SG')
	('afʲirma\U00100001jɔm', 'N;DAT;PL')
	('afʲirma\U00100001jɔ', 'N;VOC;SG')
aforyzm:	('afɔrɨzmax', 'N;ESS;PL')
	('afɔrɨzmamʲi', 'N;INS;PL')
	('afɔrɨzmɛm', 'N;INS;SG')
	('afɔrɨzmʲiɛ', 'N;ESS;SG')
	('afɔrɨzmʲiɛ', 'N;VOC;SG')
	('a f ɔ r ɨ z m', 'N;ACC;SG')
	('a f ɔ r ɨ z m', 'N;NOM;SG')
	('afɔrɨzmɔm', 'N;DAT;PL')
	('afɔrɨzmɔvʲi', 'N;DAT;SG')
	('afɔrɨzmuv', 'N;GEN;PL')
	('afɔrɨzmu', 'N;GEN;SG')
	('afɔrɨzmɨ', 'N;ACC;PL')
	('afɔrɨzmɨ', 'N;NOM;PL')
	('afɔrɨzmɨ', 'N;VOC;PL')
afrodyzjak:	('avrɔdɨzjakax', 'N;ESS;PL')
	('avrɔdɨzjakamʲi', 'N;INS;PL')
	('avrɔdɨzjaka', 'N;GEN;SG')
	('avrɔdɨzjakʲiɛm', 'N;INS;SG')
	('avrɔdɨzjakʲi', 'N;ACC;PL')
	('avrɔdɨzjakʲi', 'N;NOM;PL')
	('avrɔdɨzjakʲi', 'N;VOC;PL')
	('a f r ɔ d ɨ z j a k', 'N;ACC;SG')
	('a f r ɔ d ɨ z j a k', 'N;NOM;SG')
	('avrɔdɨzjakɔm', 'N;DAT;PL')
	('avrɔdɨzjakɔvʲi', 'N;DAT;SG')
	('avrɔdɨzjakuv', 'N;GEN;PL')
	('avrɔdɨzjaku', 'N;ESS;SG')
	('avrɔdɨzjaku', 'N;VOC;SG')
afrykata:	('avrɨka\U00100001ʲiɛ', 'N;DAT;SG')
	('avrɨka\U00100001ʲiɛ', 'N;ESS;SG')
	('avrɨkatax', 'N;ESS;PL')
	('avrɨkatamʲi', 'N;INS;PL')
	('avrɨkatɔ̃', 'N;INS;SG')
	('a f r ɨ k a t a', 'N;NOM;SG')
	('avrɨkatɛ~', 'N;ACC;SG')
	('avrɨkat', 'N;GEN;PL')
	('avrɨkatɔm', 'N;DAT;PL')
	('avrɨkatɔ', 'N;VOC;SG')
	('avrɨkatɨ', 'N;ACC;PL')
	('avrɨkatɨ', 'N;GEN;SG')
	('avrɨkatɨ', 'N;NOM;PL')
	('avrɨkatɨ', 'N;VOC;PL')
agat:	('aga\U00100001ʲiɛ', 'N;ESS;SG')
	('aga\U00100001ʲiɛ', 'N;VOC;SG')
	('agatax', 'N;ESS;PL')
	('agatamʲi', 'N;INS;PL')
	('agatɛm', 'N;INS;SG')
	('a ɡ a t', 'N;ACC;SG')
	('a ɡ a t', 'N;NOM;SG')
	('agatɔm', 'N;DAT;PL')
	('agatɔvʲi', 'N;DAT;SG')
	('agatuv', 'N;GEN;PL')
	('agatu', 'N;GEN;SG')
	('agatɨ', 'N;ACC;PL')
	('agatɨ', 'N;NOM;PL')
	('agatɨ', 'N;VOC;PL')
agawa:	('agavax', 'N;ESS;PL')
	('agavamʲi', 'N;INS;PL')
	('agavɔ̃', 'N;INS;SG')
	('a ɡ a v a', 'N;NOM;SG')
	('agavɛ~', 'N;ACC;SG')
	('agavʲiɛ', 'N;DAT;SG')
	('agavʲiɛ', 'N;ESS;SG')
	('agav', 'N;GEN;PL')
	('agavɔm', 'N;DAT;PL')
	('agavɔ', 'N;VOC;SG')
	('agavɨ', 'N;ACC;PL')
	('agavɨ', 'N;GEN;SG')
	('agavɨ', 'N;NOM;PL')
	('agavɨ', 'N;VOC;PL')
agentura:	('agɛnturax', 'N;ESS;PL')
	('agɛnturamʲi', 'N;INS;PL')
	('agɛnturɔ̃', 'N;INS;SG')
	('a ɡ ɛ n t u r a', 'N;NOM;SG')
	('agɛnturɛ~', 'N;ACC;SG')
	('agɛntur', 'N;GEN;PL')
	('agɛnturɔm', 'N;DAT;PL')
	('agɛnturɔ', 'N;VOC;SG')
	('agɛnturɨ', 'N;ACC;PL')
	('agɛnturɨ', 'N;GEN;SG')
	('agɛnturɨ', 'N;NOM;PL')
	('agɛnturɨ', 'N;VOC;PL')
	('agɛntuʐɛ', 'N;DAT;SG')
	('agɛntuʐɛ', 'N;ESS;SG')
aglomeracja:	('aglɔmɛra\U00100001jax', 'N;ESS;PL')
	('aglɔmɛra\U00100001jamʲi', 'N;INS;PL')
	('aglɔmɛra\U00100001jɔ̃', 'N;INS;SG')
	('a ɡ l ɔ m ɛ r a t͡s j a', 'N;NOM;SG')
	('aglɔmɛra\U00100001jɛ', 'N;ACC;PL')
	('aglɔmɛra\U00100001jɛ~', 'N;ACC;SG')
	('aglɔmɛra\U00100001jɛ', 'N;NOM;PL')
	('aglɔmɛra\U00100001jɛ', 'N;VOC;PL')
	('aglɔmɛra\U00100001jʲi', 'N;DAT;SG')
	('aglɔmɛra\U00100001jʲi', 'N;ESS;SG')
	('aglɔmɛra\U00100001jʲi', 'N;GEN;PL')
	('aglɔmɛra\U00100001jʲi', 'N;GEN;SG')
	('aglɔmɛra\U00100001jɔm', 'N;DAT;PL')
	('aglɔmɛra\U00100001jɔ', 'N;VOC;SG')
agnostyk:	('agnɔstɨ\U00100001ɨ', 'N;NOM;PL')
	('agnɔstɨ\U00100001ɨ', 'N;VOC;PL')
	('agnɔstɨkax', 'N;ESS;PL')
	('agnɔstɨkamʲi', 'N;INS;PL')
	('agnɔstɨka', 'N;ACC;SG')
	('agnɔstɨka', 'N;GEN;SG')
	('agnɔstɨkʲiɛm', 'N;INS;SG')
	('a ɡ n ɔ s t ɨ k', 'N;NOM;SG')
	('agnɔstɨkɔm', 'N;DAT;PL')
	('agnɔstɨkɔvʲi', 'N;DAT;SG')
	('agnɔstɨkuv', 'N;ACC;PL')
	('agnɔstɨkuv', 'N;GEN;PL')
	('agnɔstɨku', 'N;ESS;SG')
	('agnɔstɨku', 'N;VOC;SG')
agora:	('agɔrax', 'N;ESS;PL')
	('agɔramʲi', 'N;INS;PL')
	('agɔrɔ̃', 'N;INS;SG')
	('a ɡ ɔ r a', 'N;NOM;SG')
	('agɔrɛ~', 'N;ACC;SG')
	('agɔr', 'N;GEN;PL')
	('agɔrɔm', 'N;DAT;PL')
	('agɔrɔ', 'N;VOC;SG')
	('agɔrɨ', 'N;ACC;PL')
	('agɔrɨ', 'N;GEN;SG')
	('agɔrɨ', 'N;NOM;PL')
	('agɔrɨ', 'N;VOC;PL')
	('agɔʐɛ', 'N;DAT;SG')
	('agɔʐɛ', 'N;ESS;SG')
agrafka:	('agraf\U00100001ɛ', 'N;DAT;SG')
	('agraf\U00100001ɛ', 'N;ESS;SG')
	('agrafɛk', 'N;GEN;PL')
	('agrafkax', 'N;ESS;PL')
	('agrafkamʲi', 'N;INS;PL')
	('agrafkɔ̃', 'N;INS;SG')
	('a ɡ r a f k a', 'N;NOM;SG')
	('agrafkɛ~', 'N;ACC;SG')
	('agrafkʲi', 'N;ACC;PL')
	('agrafkʲi', 'N;GEN;SG')
	('agrafkʲi', 'N;NOM;PL')
	('agrafkʲi', 'N;VOC;PL')
	('agrafkɔm', 'N;DAT;PL')
	('agrafkɔ', 'N;VOC;SG')
agregat:	('agrɛga\U00100001ʲiɛ', 'N;ESS;SG')
	('agrɛga\U00100001ʲiɛ', 'N;VOC;SG')
	('agrɛgatax', 'N;ESS;PL')
	('agrɛgatamʲi', 'N;INS;PL')
	('agrɛgatɛm', 'N;INS;SG')
	('a ɡ r ɛ ɡ a t', 'N;ACC;SG')
	('a ɡ r ɛ ɡ a t', 'N;NOM;SG')
	('agrɛgatɔm', 'N;DAT;PL')
	('agrɛgatɔvʲi', 'N;DAT;SG')
	('agrɛgatuv', 'N;GEN;PL')
	('agrɛgatu', 'N;GEN;SG')
	('agrɛgatɨ', 'N;ACC;PL')
	('agrɛgatɨ', 'N;NOM;PL')
	('agrɛgatɨ', 'N;VOC;PL')
agresja:	('agrɛzjax', 'N;ESS;PL')
	('agrɛzjamʲi', 'N;INS;PL')
	('agrɛzjɔ̃', 'N;INS;SG')
	('a ɡ r ɛ s j a', 'N;NOM;SG')
	('agrɛzjɛ', 'N;ACC;PL')
	('agrɛzjɛ~', 'N;ACC;SG')
	('agrɛzjɛ', 'N;NOM;PL')
	('agrɛzjɛ', 'N;VOC;PL')
	('agrɛzjʲi', 'N;DAT;SG')
	('agrɛzjʲi', 'N;ESS;SG')
	('agrɛzjʲi', 'N;GEN;PL')
	('agrɛzjʲi', 'N;GEN;SG')
	('agrɛzjɔm', 'N;DAT;PL')
	('agrɛzjɔ', 'N;VOC;SG')
agresor:	('agrɛsɔrax', 'N;ESS;PL')
	('agrɛsɔramʲi', 'N;INS;PL')
	('agrɛsɔra', 'N;ACC;SG')
	('agrɛsɔra', 'N;GEN;SG')
	('agrɛsɔrɛm', 'N;INS;SG')
	('agrɛsɔr', 'N;NOM;SG')
	('agrɛsɔrɔm', 'N;DAT;PL')
	('agrɛsɔrɔvʲi', 'N;DAT;SG')
	('agrɛsɔruv', 'N;ACC;PL')
	('agrɛsɔruv', 'N;GEN;PL')
	('agrɛsɔʐɛ', 'N;ESS;SG')
	('agrɛsɔʐɛ', 'N;VOC;SG')
	('agrɛsɔʐɨ', 'N;NOM;PL')
	('agrɛsɔʐɨ', 'N;VOC;PL')
agrest:	('agrɛɕ\U00100001ʲiɛ', 'N;ESS;SG')
	('agrɛɕ\U00100001ʲiɛ', 'N;VOC;SG')
	('agrɛstax', 'N;ESS;PL')
	('agrɛstamʲi', 'N;INS;PL')
	('agrɛstɛm', 'N;INS;SG')
	('a ɡ r ɛ s t', 'N;ACC;SG')
	('a ɡ r ɛ s t', 'N;NOM;SG')
	('agrɛstɔm', 'N;DAT;PL')
	('agrɛstɔvʲi', 'N;DAT;SG')
	('agrɛstuv', 'N;GEN;PL')
	('agrɛstu', 'N;GEN;SG')
	('agrɛstɨ', 'N;ACC;PL')
	('agrɛstɨ', 'N;NOM;PL')
	('agrɛstɨ', 'N;VOC;PL')
akacja:	('aka\U00100001jax', 'N;ESS;PL')
	('aka\U00100001jamʲi', 'N;INS;PL')
	('aka\U00100001jɔ̃', 'N;INS;SG')
	('a k a t͡s j a', 'N;NOM;SG')
	('aka\U00100001jɛ', 'N;ACC;PL')
	('aka\U00100001jɛ~', 'N;ACC;SG')
	('aka\U00100001jɛ', 'N;NOM;PL')
	('aka\U00100001jɛ', 'N;VOC;PL')
	('aka\U00100001jʲi', 'N;DAT;SG')
	('aka\U00100001jʲi', 'N;ESS;SG')
	('aka\U00100001jʲi', 'N;GEN;PL')
	('aka\U00100001jʲi', 'N;GEN;SG')
	('aka\U00100001jɔm', 'N;DAT;PL')
	('aka\U00100001jɔ', 'N;VOC;SG')
akademia:	('akadɛmʲiax', 'N;ESS;PL')
	('akadɛmʲiamʲi', 'N;INS;PL')
	('akadɛmʲiɔ̃', 'N;INS;SG')
	('a k a d ɛ mʲ a', 'N;NOM;SG')
	('akadɛmʲiɛ', 'N;ACC;PL')
	('akadɛmʲiɛ~', 'N;ACC;SG')
	('akadɛmʲiɛ', 'N;NOM;PL')
	('akadɛmʲiɛ', 'N;VOC;PL')
	('akadɛmʲii', 'N;DAT;SG')
	('akadɛmʲii', 'N;ESS;SG')
	('akadɛmʲii', 'N;GEN;PL')
	('akadɛmʲii', 'N;GEN;SG')
	('akadɛmʲiɔm', 'N;DAT;PL')
	('akadɛmʲiɔ', 'N;VOC;SG')
akapit:	('akapʲi\U00100001ʲiɛ', 'N;ESS;SG')
	('akapʲi\U00100001ʲiɛ', 'N;VOC;SG')
	('akapʲitax', 'N;ESS;PL')
	('akapʲitamʲi', 'N;INS;PL')
	('akapʲitɛm', 'N;INS;SG')
	('a k a pʲ i t', 'N;ACC;SG')
	('a k a pʲ i t', 'N;NOM;SG')
	('akapʲitɔm', 'N;DAT;PL')
	('akapʲitɔvʲi', 'N;DAT;SG')
	('akapʲituv', 'N;GEN;PL')
	('akapʲitu', 'N;GEN;SG')
	('akapʲitɨ', 'N;ACC;PL')
	('akapʲitɨ', 'N;NOM;PL')
	('akapʲitɨ', 'N;VOC;PL')
akceleracja:	('ak\U00100001ɛlɛra\U00100001jax', 'N;ESS;PL')
	('ak\U00100001ɛlɛra\U00100001jamʲi', 'N;INS;PL')
	('ak\U00100001ɛlɛra\U00100001jɔ̃', 'N;INS;SG')
	('a k t͡s ɛ l ɛ r a t͡s j a', 'N;NOM;SG')
	('ak\U00100001ɛlɛra\U00100001jɛ', 'N;ACC;PL')
	('ak\U00100001ɛlɛra\U00100001jɛ~', 'N;ACC;SG')
	('ak\U00100001ɛlɛra\U00100001jɛ', 'N;NOM;PL')
	('ak\U00100001ɛlɛra\U00100001jɛ', 'N;VOC;PL')
	('ak\U00100001ɛlɛra\U00100001jʲi', 'N;DAT;SG')
	('ak\U00100001ɛlɛra\U00100001jʲi', 'N;ESS;SG')
	('ak\U00100001ɛlɛra\U00100001jʲi', 'N;GEN;SG')
	('ak\U00100001ɛlɛra\U00100001jɔm', 'N;DAT;PL')
	('ak\U00100001ɛlɛra\U00100001jɔ', 'N;VOC;SG')
akcelerometr:	('ak\U00100001ɛlɛrɔmɛdrax', 'N;ESS;PL')
	('ak\U00100001ɛlɛrɔmɛdramʲi', 'N;INS;PL')
	('ak\U00100001ɛlɛrɔmɛdrɛm', 'N;INS;SG')
	('a k t͡s ɛ l ɛ r ɔ m ɛ t r', 'N;ACC;SG')
	('a k t͡s ɛ l ɛ r ɔ m ɛ t r', 'N;NOM;SG')
	('ak\U00100001ɛlɛrɔmɛdrɔm', 'N;DAT;PL')
	('ak\U00100001ɛlɛrɔmɛdrɔvʲi', 'N;DAT;SG')
	('ak\U00100001ɛlɛrɔmɛdruv', 'N;GEN;PL')
	('ak\U00100001ɛlɛrɔmɛdru', 'N;GEN;SG')
	('ak\U00100001ɛlɛrɔmɛdrɨ', 'N;ACC;PL')
	('ak\U00100001ɛlɛrɔmɛdrɨ', 'N;NOM;PL')
	('ak\U00100001ɛlɛrɔmɛdrɨ', 'N;VOC;PL')
	('ak\U00100001ɛlɛrɔmɛdʐɛ', 'N;ESS;SG')
	('ak\U00100001ɛlɛrɔmɛdʐɛ', 'N;VOC;SG')
akcent:	('ak\U00100001ɛn\U00100001ʲiɛ', 'N;ESS;SG')
	('ak\U00100001ɛn\U00100001ʲiɛ', 'N;VOC;SG')
	('ak\U00100001ɛntax', 'N;ESS;PL')
	('ak\U00100001ɛntamʲi', 'N;INS;PL')
	('ak\U00100001ɛntɛm', 'N;INS;SG')
	('a k t͡s ɛ n t', 'N;ACC;SG')
	('a k t͡s ɛ n t', 'N;NOM;SG')
	('ak\U00100001ɛntɔm', 'N;DAT;PL')
	('ak\U00100001ɛntɔvʲi', 'N;DAT;SG')
	('ak\U00100001ɛntuv', 'N;GEN;PL')
	('ak\U00100001ɛntu', 'N;GEN;SG')
	('ak\U00100001ɛntɨ', 'N;ACC;PL')
	('ak\U00100001ɛntɨ', 'N;NOM;PL')
	('ak\U00100001ɛntɨ', 'N;VOC;PL')
akcesorium:	('ak\U00100001ɛsɔrʲiax', 'N;ESS;PL')
	('ak\U00100001ɛsɔrʲiamʲi', 'N;INS;PL')
	('ak\U00100001ɛsɔrʲia', 'N;ACC;PL')
	('ak\U00100001ɛsɔrʲia', 'N;NOM;PL')
	('ak\U00100001ɛsɔrʲia', 'N;VOC;PL')
	('ak\U00100001ɛsɔrʲiɔm', 'N;DAT;PL')
	('ak\U00100001ɛsɔrʲiuv', 'N;GEN;PL')
	('ak\U00100001ɛsɔrʲium', 'N;ACC;SG')
	('ak\U00100001ɛsɔrʲium', 'N;DAT;SG')
	('ak\U00100001ɛsɔrʲium', 'N;ESS;SG')
	('ak\U00100001ɛsɔrʲium', 'N;GEN;SG')
	('ak\U00100001ɛsɔrʲium', 'N;INS;SG')
	('ak\U00100001ɛsɔrʲium', 'N;NOM;SG')
	('ak\U00100001ɛsɔrʲium', 'N;VOC;SG')
akcja:	('ak\U00100001jax', 'N;ESS;PL')
	('ak\U00100001jamʲi', 'N;INS;PL')
	('ak\U00100001jɔ̃', 'N;INS;SG')
	('a k t͡s j a', 'N;NOM;SG')
	('ak\U00100001jɛ', 'N;ACC;PL')
	('ak\U00100001jɛ~', 'N;ACC;SG')
	('ak\U00100001jɛ', 'N;NOM;PL')
	('ak\U00100001jɛ', 'N;VOC;PL')
	('a k t͡s j i', 'N;DAT;SG')
	('a k t͡s j i', 'N;ESS;SG')
	('a k t͡s j i', 'N;GEN;PL')
	('a k t͡s j i', 'N;GEN;SG')
	('ak\U00100001jɔm', 'N;DAT;PL')
	('ak\U00100001jɔ', 'N;VOC;SG')
akcjonariusz:	('ak\U00100001jɔnarʲiuzzax', 'N;ESS;PL')
	('ak\U00100001jɔnarʲiuzzamʲi', 'N;INS;PL')
	('ak\U00100001jɔnarʲiuzza', 'N;ACC;SG')
	('ak\U00100001jɔnarʲiuzza', 'N;GEN;SG')
	('ak\U00100001jɔnarʲiuzzɛm', 'N;INS;SG')
	('ak\U00100001jɔnarʲiuzzɛ', 'N;NOM;PL')
	('ak\U00100001jɔnarʲiuzzɛ', 'N;VOC;PL')
	('a k t͡s j ɔ n a rʲ j u ʂ', 'N;NOM;SG')
	('ak\U00100001jɔnarʲiuzzɔm', 'N;DAT;PL')
	('ak\U00100001jɔnarʲiuzzɔvʲi', 'N;DAT;SG')
	('ak\U00100001jɔnarʲiuzzu', 'N;ESS;SG')
	('ak\U00100001jɔnarʲiuzzu', 'N;VOC;SG')
	('ak\U00100001jɔnarʲiuzzɨ', 'N;ACC;PL')
	('ak\U00100001jɔnarʲiuzzɨ', 'N;GEN;PL')
akomodacja:	('akɔmɔda\U00100001jax', 'N;ESS;PL')
	('akɔmɔda\U00100001jamʲi', 'N;INS;PL')
	('akɔmɔda\U00100001jɔ̃', 'N;INS;SG')
	('a k ɔ m ɔ d a t͡s j a', 'N;NOM;SG')
	('akɔmɔda\U00100001jɛ', 'N;ACC;PL')
	('akɔmɔda\U00100001jɛ~', 'N;ACC;SG')
	('akɔmɔda\U00100001jɛ', 'N;NOM;PL')
	('akɔmɔda\U00100001jɛ', 'N;VOC;PL')
	('akɔmɔda\U00100001jʲi', 'N;DAT;SG')
	('akɔmɔda\U00100001jʲi', 'N;ESS;SG')
	('akɔmɔda\U00100001jʲi', 'N;GEN;PL')
